"Title","Couleur_Piece","Categorie_Piece","Fournisseur_Piece","Unite_Piece","Code_Piece","Description_Piece","Inventaire_Piece","Prix_Piece","Emplacement","InventaireEmplacement1","PartiPeinture","PointCommande","Emplacement2","InventaireEmplacement2","PiecePeinte","Code_Piece_NonPeinte","DateDerniereTransaction","Achat_fait"
"158","Non-Peinte","Attache murale","Aimé Champagne","Unité","AttacheMurale-NP","Attache murale Non-Peinte","15",,"Magasin","15","0","50",,"0","False",,,"False"
"159","Gris métallique","Attache murale","Peinture Industrielle DJ Inc","Unité","AttacheMurale-GM","Attache murale Gris métallique","0",,"Magasin","0",,"5",,,"Vrai","AttacheMurale-NP",,"False"
"160","Brun commercial","Attache murale","Série act peinture inc.","Unité","AttacheMurale-BR","Attache murale Brun commercial","28",,"Magasin","28","0","5",,"0","Vrai","AttacheMurale-NP",,"False"
"161","Blanc","Attache murale","Série act peinture inc.","Unité","AttacheMurale-BL","Attache murale blanche","45",,"Magasin","45","0","20",,"0","Vrai","AttacheMurale-NP",,"False"
"162","Noir","Attache murale","Série act peinture inc.","Unité","AttacheMurale-NO","Attache murale noire","52",,"Magasin","52","0","20",,"0","Vrai","AttacheMurale-NP",,"False"
"163","Charbon","Attache murale","Série act peinture inc.","Unité","AttacheMurale-CH","Attache murale charbon","36",,"Magasin","36",,"5",,"0","Vrai","AttacheMurale-NP",,"False"
"164","Argile","Attache murale","Série act peinture inc.","Unité","AttacheMurale-AR","Attache murale argile","15",,"Magasin","15",,"5",,"0","Vrai","AttacheMurale-NP",,"False"
"165","Non-Peinte","Plaque","LB Laser","Unité","PlaqueMC-NP","Plaque main urbaine Non-peinte","109",,"Magasin","109","0","100",,"0","False",,,"False"
"166","Brun commercial","Plaque","Série act peinture inc.","Unité","PlaqueMC-BR","Plaque main urbaine brun commercial","53",,"Magasin","53","0","15",,"0","Vrai","PlaqueMC-NP",,"False"
"167","Blanc","Plaque","Série act peinture inc.","Unité","PlaqueMC-BL","Plaque main urbaine blanche","69",,"Magasin","69","0","30",,,"Vrai","PlaqueMC-NP",,"False"
"168","Noir","Plaque","Série act peinture inc.","Unité","PlaqueMC-NO","Plaque main urbaine noire","102",,"Magasin","102",,"50",,,"Vrai","PlaqueMC-NP",,"False"
"169","Charbon","Plaque","Série act peinture inc.","Unité","PlaqueMC-CH","Plaque main urbaine charbon","51",,"Magasin","51","0","15",,"0","Vrai","PlaqueMC-NP",,"False"
"170","Argile","Plaque","Série act peinture inc.","Unité","PlaqueMC-AR","Plaque main urbaine argile","23",,"Magasin","23",,"15",,,"Vrai","PlaqueMC-NP",,"False"
"171","Noir","Base barrotin","Metra Aluminium Inc.","Unité","BBARRO-1-3/4-NO","Base de barrotin 1 3/4"" Noire","47",,"Magasin","47",,,,,"False",,,"False"
"172","Noir","Autre","Peinture Industrielle DJ Inc","Unité","BoutRet-NO","Touch up Noir","16",,"Magasin","16",,"10",,"0","False",,,"False"
"173","Blanc","Autre","Peinture Industrielle DJ Inc","Unité","BoutRet-BL","Touch up Blanc","21",,"Magasin","21",,"10",,"0","False",,,"False"
"174","Charbon","Autre","Peinture Industrielle DJ Inc","Unité","BoutRet-GC","Touch up Charbon","19",,"Magasin","19",,"5",,,"False",,,"False"
"175","Brun commercial","Autre","Peinture Industrielle DJ Inc","Unité","BoutRet-BC","Touch up Brun commercial","9",,"Magasin","9",,"5",,,"False",,,"False"
"176","Argile","Autre","Peinture Industrielle DJ Inc","Unité","BoutRet-AR","Touch up Argile","18",,"Magasin","18",,"5",,,"False",,,"False"
"177",,"Barrière","Gem Product","Unité","ClipBarriere","Clip de barrière","93",,"Magasin","93",,"50",,"0","False",,,"False"
"179",,"Barrière","Les Agences Angelo D'Anello inc.","Boîte de 2","Penture3""","Penture 3""","17",,"Magasin","17",,"10",,"0","False",,,"False"
"181",,"Emballage","Les Emballages Carrousel","Rouleau","3040159","Mousse cohésive blanc 1/16 x 60"" (RL 1250')","1",,"Magasin","1",,"1",,"0","False",,,"False"
"182",,"Emballage","Les Emballages E.B. Ltee","Rouleau","RouleauCarton","Rouleau de carton","26",,"Magasin","5",,,,"0","False",,,"False"
"183",,"Autre","Extrucan inc.","Rouleau","2371GY-F-750","Cannelure 5mm Gris Anti-moisissure","2",,"Magasin","2",,"3",,"0","False",,,"Vrai"
"184",,"Emballage","Cartonek","Paquet de 25","80870-0001","Feuille carton 96"" X 10 3/16"" ","8",,"Magasin","8",,"11",,"0","False",,,"Vrai"
"185","Non-Peinte","Feuille aluminium","Acier Picard","Unité","FALUM-NP","Feuille aluminium 4' x 8' Non-peinte","6",,"Magasin","3",,"1",,,"False",,,"False"
"186",,"Autre","Les Attaches Viscan","Unité","Embout6""","Embout carré #2 6""","10",,"Magasin","10",,"2",,,"False",,,"False"
"187",,"Autre","Les Attaches Viscan","Unité","VRJ61032.CO","Embout carré #2 3"" (Vendu en paquet de 10)","0",,"Magasin","0",,"5",,"0","False",,,"Vrai"
"188","Non-Peint","Attache poteau","LB Laser","Unité","AttachePoteau-NP","Attache poteau Non-Peinte","32",,"Magasin","32",,"0",,,"False",,,"False"
"189","Noir","Attache poteau","Série act peinture inc.","Unité","AttachePoteau-NO","Attache poteau noire","22",,"Magasin","22",,"0",,,"Vrai","AttachePoteau-NP",,"False"
"190",,"Vis","Les Attaches Viscan","Boîte de 500","VC1815.003","Shield plomb","14",,"Magasin","14",,"8",,"0","False",,,"False"
"191",,"Autre","Les Métaux Pressés Québec inc.","Boîte de 1000","Cale","Cale (shim)","18",,"Magasin","18",,"3",,"0","False",,,"Vrai"
"192",,"Emballage","Les Emballages Carrousel","Rouleau","999-A37708","Mousse cohésive Bleu 1/16 x 48""","3",,"Magasin","3",,"10",,"0","False",,,"False"
"193",,"Vis","Les Attaches Viscan","Boîte de 50","VH30.1000","Clé HEX courte 5/32","1",,"Magasin","1",,"0",,"0","False",,,"False"
"194",,"Vis","Les Attaches Viscan","Boîte de 1300","VS17.1411CA","Vis flat carré SS18.8 #14x 1"" (pour vision) ","2",,"Magasin","2",,"0",,"0","False",,,"False"
"195",,"Rivets","Industries Miratech","Unité","SSB48SM","Rivet Stainless, dia.1/8, grip 0.500""","10,000",,"Magasin","10,000",,"5,000",,"0","False",,,"False"
"196",,"Vis","Les Attaches Viscan","Boîte de 3000","VS15.1607","Vis pentures à ressort","1",,"Magasin","1",,"0",,"0","False",,,"False"
"197",,"Vis","Les Attaches Viscan","Boîte de 650","VS01.2211","Boulon HEX 3/8 - 16 x 1"" Pour bout barrotin","1",,"Magasin","1",,"1",,"0","False",,,"False"
"198",,"Autre","Travail jeunesse","Unité","HDPE","Bloc de 1"" de HDPE (bloc main continue)","0",,"Magasin","0",,"0",,,"False",,,"False"
"199","Gris métallique","Bases et caps","Peinture Industrielle DJ Inc","Unité","BGARD-300VDCGM","Base 3"" Gris métallique","220",,"Magasin","220","0","50",,"0","Vrai","BGARD-300VDCNP",,"False"
"200","Gris métallique","Bases et caps","Peinture Industrielle DJ Inc","Unité","CGARD-300DCGM","Cap 3"" Gris métallique","158",,"Magasin","158","0","40",,"0","Vrai","CGARD-300DCNP",,"False"
"201","Graphite","Plancher aluminium","Aluminium PS","Longueur de 24'","PA624","Planche Balcon Aluminium 24' ","194",,"Magasin","194",,"50",,"0","False",,,"False"
"202","Graphite","Plancher aluminium","Aluminium PS","Longueur de 6'","PA66","Planche Balcon Aluminium 6' ","17",,"Magasin","17",,,,,"False",,,"False"
"203","Graphite","Plancher aluminium","Aluminium PS","Unité","MA224","Moulure de finition 24' Graphite","67",,"Magasin","67",,"20",,"0","False",,,"False"
"204",,"Plancher aluminium","Aluminium PS","Unité","AA122","Moulure de départ 12' ","85",,"Magasin","85",,"15",,"0","False",,,"False"
"205","Graphite","Marches aluminium","Aluminium PS","Unité","MALU42","Marche Aluminium 42'' Graphite","28",,"Magasin","28",,"25",,"0","False",,,"False"
"206","Graphite","Marches aluminium","Aluminium PS","Unité","MALU48","Marche Aluminium 48'' Graphite","1",,"Magasin","1",,"20",,"0","False",,,"False"
"207","Non-peint","Équerres","Aimé Champagne","Unité","Équerre-Poteau-NP","Équerre à poteau Non-peinte","26",,"Magasin","26",,,,"0","False",,,"False"
"208","Noir","Équerres","Série act peinture inc.","Unité","Équerre-Poteau-NO","Équerre à poteau Noir","0",,"Magasin","0",,,,"0","Vrai","Équerre-Poteau-NP",,"False"
"209","Satin","Vision","Euro Architectural Components","Unité","SSSPIGOTS6S","Spigot 6"" - SATIN","16",,"Magasin","16",,"0",,,"False",,,"False"
"210","NATUREL","Autre","Groupe Polyalto","Unité","HDPE NATUREL","PIECE HDPE NATUREL Lg 48"" de HDPE","16",,"MAGASIN","16",,"50",,"0","False",,,"Vrai"
"212","Graphite","Plancher aluminium","Aluminium PS","Longueur de 10'","PA610","Planche Balcon Aluminium 10'","50",,"Magasin","50",,,,,"False",,,"False"
"213","Graphite","Plancher aluminium","Aluminium PS","Longueur de 8'","PA68","Planche Balcon aluminiu 8'","6",,"Magasin","6",,,,,"False",,,"False"
"214","Non-Peint","Équerres","Travail jeunesse","Unité","ÉquerreM-NP","Équerre de mur intimité Non-Peinte","23",,"Magasin","23","0","50",,"0","False",,,"False"
"215","Noir","Équerres","Série act peinture inc.","Unité","ÉquerreM-NO","Équerre de mur intimité Noir","484",,"Magasin","484","0",,,"0","Vrai","ÉquerreM-NP",,"False"
"216","Blanc","Équerres","Série act peinture inc.","Unité","ÉquerreM-BL","Équerre de mur intimité Blanc","12",,"Magasin","12",,,,"0","Vrai","ÉquerreM-NP",,"False"
"217",,"Vis","Les Attaches Viscan","Boîte","VS26.1833","Tire fond HEX 1/4"" x 6""","1",,"Magasin","1",,"100",,,"False",,,"False"
"218","Graphite","Plancher aluminium","Aluminium PS","Longueur de 12'","PA612","Planche Balcon aluminiu 12'","1",,"Magasin",,,"0",,,"False",,,"False"
"219","Graphite","Plancher aluminium","Aluminium PS","Longueur de 14'","PA614","Planche Balcon aluminiu 14'","1",,"Magasin",,,"0",,,"False",,,"False"
"220","Graphite","Plancher aluminium","Aluminium PS","Longueur de 16'","PA616","Planche Balcon aluminiu 16'","1",,"Magasin",,,"0",,,"False",,,"False"
"221",,"Barrière","Acier Picard","Paquet de 10","ArretBarriere","Arrêt de barrière","0",,"Magasin","0",,,,"0","False",,,"False"
"222","Satin","Vision","Euro Architectural Components","Unité","SSPFGL180S","Glass to Glass Latch","0",,"Magasin","0",,"0",,"0","False",,,"False"
"223",,"Vis","Les Attaches Viscan","Boîte de 500","VS31.10087CA.V","PETITE VIS AUTO. POUR PENTURE","2",,"Magasin","2",,"2",,"0","False",,,"False"
"224",,"Vis","Boulons & Écrous A.M. inc.","Unité","060212S","MECHE A CIMENT  1/4'' x  12''","0",,,,,"10",,,"False",,,"False"
"225",,"Vision","Euro Architectural Components","Unité","SSSPIGOTEDGE","Attache Vision Optimum Façade (stainless)","0",,"Magasin",,,"0",,,"False",,,"False"
"226",,"Vis","Les Attaches Viscan","Unité","CHXL28.0011","MECHE 11/64","12",,"Magasin","12",,"10",,,"False",,,"False"
"227","Stainless","Vision","Euro Architectural Components","Unité","SSPFEB90","Connecteur de coin 90°","1",,"Magasin","1",,"0",,"0","False",,,"False"
"228","Graphite Black","Vision","Euro Architectural Components","Unité","SSPFEB180GB","Attache face à face Graphite Black","2",,"Magasin","2",,"0",,,"False",,,"False"
"229","INOX","Barrière","RICHELIEU","Unité","301SS","LOQUET BARRIÈRE ACIER INOX","67",,"Magasin","67",,"20",,"0","False",,,"False"
"233","NOIR","Barrière","Les Attaches Viscan","Unité","VZ.SERCLES.NR","Serrure à clé - Noir","0",,"Magasin","0",,"15",,"0","False",,,"False"
"235",,"Vis","Les Attaches Viscan","Boîe de 300","VS27.1427","VIS METAL HEX WASHER T-A SS18.8 14x4","1",,"Magasin","1",,,,,"False",,,"False"
"236",,"Vis","Les Attaches Viscan","Boîte de 250","VRW7210TMG","TITEN WEDGE BOLT GALVANISÉ 1/4 x 3""","7",,"Magasin","2",,"16",,"0","False",,,"False"
"238","Noir","Rivets","Les Attaches Viscan","Boîte de 500","VZPOSSD46SSBS-NO","POP RIVET SS/SS 1/8 GRIP .251 - .375 NOIR","9",,"Magasin","9",,"2",,"0","False",,,"False"
"239","BLANC","Rivets","Les Attaches Viscan","Boîte de 500","VZPOSSD46SSBS-BL","POP RIVET SS/SS 1/8 GRIP .251 - .375 BLANC","3",,"Magasin","3",,"2",,"0","False",,,"False"
"240","GRIS CHARBON","Rivets","Les Attaches Viscan","Boîte de 100","VZPOSSD4SSBS-GC","POP RIVET SS/SS 1/8 GRIP .251 - .375 Gris charbon","4",,"Magasin","4",,"1",,"0","False",,,"False"
"241","BRUN","Rivets","Les Attaches Viscan","Boîte de 100","VZPOSSD46SSBS-BC","POP RIVET SS/SS 1/8 GRIP .251 - .375 BRUN COMMERCIAL","0",,"Magasin","0",,"1",,"0","False",,,"False"
"243","gris métallique","Quincaillerie","Peinture Industrielle DJ Inc","Unité","BoutRet-GM","Touch up Gris Métallique","19",,"Magasin","19",,"5",,,"False",,,"False"
"244","NOIR","Bases et caps","Metal Work","Unité","CapMain-VF-NO","Cap pour main verre en façade NOIR","724",,"Magasin","724",,"400",,"0","False",,,"False"
"245","Non peint","Bases et caps","Metal Work","Unité","CapMain-VF-NP","Cap pour main verre en façade Non-Peint","1,200",,"Magasin","1,200",,,,,"False",,,"False"
"246","NOIR","Bases et caps","Metal Work","Unité","CapTrack-VF-NO","Cap pour track verre en façade NOIR","725",,"Magasin","725",,,,"0","False",,,"False"
"247","Non peint","Bases et caps","Metal Work","Unité","CapTrack-VF-NP","Cap pour track verre en façade Non-Peint","3,500",,"Magasin","3,500",,,,,"False",,,"False"
"250","Noir","Barrière","Les Attaches Viscan","Boîte de 2","VZ.PENTF.NR","Penture à ressort simple noire (Paire)","0",,"Magasin","0",,"20",,"0","False",,,"False"
"251",,"Barrière","Les Agences Angelo D'Anello inc.","Unité","ZZ264999","PENTURE A RESSORT STAINLESS","0",,,,,"0",,,"False",,,"False"
"252","Noir","Barrière","Les Attaches Viscan","Unité","VZDD.TCGS3","Arret barrière noir","44",,"Magasin","44",,"20",,"0","False",,,"False"
"253","NOIR","Vision","Euro Architectural Components","Unité","SSPFEBWALLGB","Connecteur pour verre 10-12mm de départ au mur NOIR","2",,"Magasin","2",,,,,"False",,,"False"
"254",,"Vis","Les Attaches Viscan","Paquet de 100","VS27.1409","VIS #14 x 3/4","7",,"MAGASIN","7",,,,"0","False",,,"False"
"255",,"Vis","Les Attaches Viscan","Boîte","VA33.0813FTP","VIS PLANCHER ALUMINIUM","1",,"MAGASIN","1",,"0",,,"False",,,"False"
"256",,"Embout","Euro Architectural Components","Unité","SSUTALS1CA","Cap de rail de main 40 x 36mm – Alum anodisé","8",,"MAGASIN","8",,"0",,,"False",,,"False"
"257",,"Vis","Les Attaches Viscan","Boîte","VS27.1413","Vis 1 1/4"" #14 (Barrière)","3",,"MAGASIN","3",,"0",,,"False",,,"False"
"258",,"Vis","Les Attaches Viscan","Unité","VS15.1811PH","VIS FLAT SS FRAISÉE 1/4''  X 1''","0",,,,,"200",,,"False",,,"False"
"259",,"Vis","Les Attaches Viscan","Unité","V01.18125","BOULON HEX. SS 1/4'' X 3 1/2""","0",,,,,"200",,,"False",,,"False"
"260",,"Vis","Les Attaches Viscan","Unité","VS06.1899","ÉCROUS HEX FLANGE 1/4","0",,,,,"200",,,"False",,,"False"
"261",,"Vis","Les Attaches Viscan","Unité","VS10.0500","RONDELLE PLATE 1/4''","0",,,,,"100",,,"False",,,"False"
"262",,"Vis","Les Attaches Viscan","Unité","CHXL28.0014","MECHE A FER 7/32","0",,,,,"5",,,"False",,,"False"
"263",,"Vis","Les Attaches Viscan","Unité","CHXL28.0020","MECHE FER 5/16","0",,,,,"5",,,"False",,,"False"
"264",,"Quincaillerie","LB Laser","Longueur de 48""","FLATINTIMITE","Flat aluminium pour mur intimité 48""","100",,"MAGASIN","100",,"40",,,"False",,,"False"
"265",,"Vis","Les Attaches Viscan","Boîte de 400","VS01.1825FT","BOULONS HEX SS 18.8 1/4 20 X 31/2","1,200",,,,,,,,"False",,,"False"
"266","BLANC","Vis","Les Attaches Viscan","Boîte de 1000","VS20.0809CABL","VIS PAN CARRE TECK SS 18 X 3/4 AUTOP.","1,000",,,,,,,,"False",,,"False"
"267","NOIR","Vis","Les Attaches Viscan","Boîte de 1000","VS20.0809CAV17","VIS PAN CARRE TECK SS 18 X 3/4 AUTOP.","1,000",,,,,,,,"False",,,"False"
"268",,"Vis","Les Attaches Viscan","Boîte de 1000","ZZMA21.1415EVG","VIS TEK HEX POUR ACIER (GALVANISÉ)","1,000",,,,,,,,"False",,,"False"
"269",,"Vis","Les Attaches Viscan","BOÎTE DE 12","CHXL28.0009","MÈCHE RONDE 9/64","12",,,,,,,,"False",,,"False"
"270","Stainless","Vision","Euro Architectural Components","Unité","SSUTALS1CA","Embout de main carré pour 10-12mm","8",,"Magasin","8",,,"Magasin","8","False",,,"False"
"271",,"Vis","Les Attaches Viscan","Boîte de 4000","VS20.0811CA.V+","Vis autoperçantes 1"" pour barrière","3",,"Magasin","2",,,"Magasin","1","False",,,"False"
"272",,"Équerres","SM Tech","Unité","280-001-Percé","Équerre fixe1/8"" x 1-1/8"" x 5"" 95° Percé","350",,"MAGASIN","350",,"900",,"0","False",,,"False"
"273","Noir","Vision","Euro Architectural Components","Unité","SSPFEB90B","Connecteur de coin 90° - NOIR","1",,"Magasin","1",,,,,"False",,,"False"
"274","Stainless","Vision","Euro Architectural Components","Unité","SSPFEBADJS","Connecteur ajustable 12mm","2",,"Magasin","2",,"0",,,"False",,,"False"
"275","Stainless","Vision","Euro Architectural Components","Unité","SSPFHHGGS","Penture hydrolique - Barrière Optimum","1",,"Magasin","1",,"0",,,"False",,,"False"
"276","Gris Métallique","Quincaillerie","Série act peinture inc.","Unité","PlaqueMC-GM","Plaque main urbaine Gris Métallique","18",,"Magasin","18","0","15",,,"Vrai",,,"False"
