"Title","Couleur_Piece","Categorie_Piece","Fournisseur_Piece","Unite_Piece","Code_Piece","Description_Piece","Inventaire_Piece","Prix_Piece","Emplacement","InventaireEmplacement1","PartiPeinture","PointCommande","Emplacement2","InventaireEmplacement2","PiecePeinte","Code_Piece_NonPeinte","DateDerniereTransaction","Achat_fait"
"91","Argile","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","964747AR","Track de verre Argile",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"92","Brun commercial","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","964747BC","Track de verre Brun commercial",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"93","Blanc","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","964747BL","Track de verre Blanc",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"94","Gris charbon","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","964747GC","Track de verre Gris charbon",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"95","Gris métallique","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","964747GM","Track de verre Gris métallique",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"96","Noir","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","964747NO","Track de verre Noir",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"97","Argile","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 14.83 pieds","998492AR","Barrotin 1 3/4"" Argile",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"98","Brun commercial","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 14.83 pieds","998492BC","Barrotin 1 3/4"" Brun commercial",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"99","Blanc","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 14.83 pieds","998492BL","Barrotin 1 3/4"" Blanc",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"100","Gris charbon","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 14.83 pieds","998492GC","Barrotin 1 3/4"" Gris charbon",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"101","Noir","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 14.83 pieds","998492NO","Barrotin 1 3/4"" Noir",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"102","Argile","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 14.83 pieds","998495AR","Barrotin 3/4"" Argile",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"103","Brun commercial","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 14.83 pieds","998495BC","Barrotin 3/4"" Brun commercial",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"104","Blanc","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 14.83 pieds","998495BL","Barrotin 3/4"" Blanc",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"105","Gris charbon","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 14.83 pieds","998495GC","Barrotin 3/4"" Gris charbon",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"106","Gris métallique","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 14.83 pieds","998495GM","Barrotin 3/4"" Gris métallique",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"107","Noir","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 14.83 pieds","998495NO","Barrotin 3/4"" Noir",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"108","Argile","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","998496AR","Poteau 1 3/4"" Argile",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"109","Brun commercial","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","998496BC","Poteau 1 3/4"" Brun commercial",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"110","Blanc","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","998496BL","Poteau 1 3/4"" Blanc",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"111","Gris charbon","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","998496GC","Poteau 1 3/4"" Gris charbon",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"112","Gris métallique","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","998496GM","Poteau 1 3/4"" Gris métallique",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"113","Noir","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","998496NO","Poteau 1 3/4"" Noir",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"114","Argile","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","998497AR","Poteau 3"" Argile",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"115","Brun commercial","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","998497BC","Poteau 3"" Brun commercial",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"116","Blanc","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","998497BL","Poteau 3"" Blanc",,,"Entrepôt",,,,"Mur",,"False",,,"False"
"117","Gris charbon","Aluminium","Hydro Extrusion Canada Inc.","Longueur de 17.48 pieds","998497GC","Poteau 3"" Gris charbon",,,"Entrepôt",,,,"Mur",,"False",,,"False"
